	GCF_000014405.1	GCF_000751275.1	GCF_000409675.1	GCF_000191165.1	GCF_000284715.1	GCF_000192165.1	GCF_000056065.1	GCF_000179375.1	GCF_000387565.1	GCF_000182835.1	GCF_000751235.1	GCF_000284695.1	GCF_000751635.1	GCF_000751655.1	GCF_000751695.1	GCF_000751895.1	GCF_001189855.1	GCF_001190005.1	GCF_001263315.1	GCF_001433875.1	GCF_001434635.1	GCF_001435795.1	GCF_001437195.1	GCF_001437485.1	GCF_001469775.1	GCF_001510975.1	GCF_001624905.1	GCF_001624925.1	GCF_001647065.1	GCF_001888905.1	GCF_001888925.1	GCF_001888945.1	GCF_001888965.1	GCF_001888985.1	GCF_001908415.1	GCF_001908495.1	GCF_001953135.1	GCF_002000885.1	GCF_002016675.1	GCF_002142575.1	GCF_002278095.1	GCF_002285775.1	GCF_002847905.1	GCF_003034905.1	GCF_003326615.1	GCF_003351805.1	GCF_003545935.1	GCF_003597655.1	GCF_004122955.1	GCF_004123065.1	GCF_004211505.1	GCF_004211735.1	GCF_004354615.1	GCF_005864055.1	GCF_005864125.1	GCF_006538625.1	GCF_006538645.1	GCF_006538685.1	GCF_006539405.1	GCF_006704185.1	GCF_006740305.1	GCF_008014735.1	GCF_008016355.1	GCF_009362855.1	GCF_009734125.1	GCF_011044195.1	GCF_900196735.1	GCF_900322585.1	GCF_902374335.1	KG8_M4meta	KG8_M4_S10	KG8_M4_S12	KG8_M4_S14	KG8_M4_S17	KG8_M4_S26	KG8_M4_S2	KG8_M4_S3	KG8_M4_S41	KG8_M4_S42	KG8_M4_S43	KG8_M4_S46	KG8_M4_S48	KG8_M4_S4	KG8_M4_S50	KG8_M4_S53	KG8_M4_S55	KG8_M4_S57	KG8_M4_S58	KG8_M4_S59	KG8_M4_S61	KG8_M4_S6	KG8_M4_S8	L3_M4meta	L3_M4_S100	L3_M4_S101	L3_M4_S102	L3_M4_S105	L3_M4_S106	L3_M4_S107	L3_M4_S108	L3_M4_S110	L3_M4_S111	L3_M4_S112	L3_M4_S113	L3_M4_S114	L3_M4_S115	L3_M4_S116	L3_M4_S117	L3_M4_S118	L3_M4_S119	L3_M4_S120	L3_M4_S121	L3_M4_S122	L3_M4_S123	L3_M4_S124	L3_M4_S125	L3_M4_S126	L3_M4_S127	L3_M4_S128	L3_M4_S129	L3_M4_S130	L3_M4_S131	L3_M4_S132	L3_M4_S133	L3_M4_S134	L3_M4_S135	L3_M4_S136	L3_M4_S137	L3_M4_S165	L3_M4_S178	L3_M4_S179	L3_M4_S195	L3_M4_S196	L3_M4_S197	L3_M4_S48	L3_M4_S49	L3_M4_S50	L3_M4_S51	L3_M4_S52	L3_M4_S53	L3_M4_S54	L3_M4_S55	L3_M4_S56	L3_M4_S57	L3_M4_S58	L3_M4_S59	L3_M4_S60	L3_M4_S61	L3_M4_S62	L3_M4_S63	L3_M4_S64	L3_M4_S65	L3_M4_S66	L3_M4_S67	L3_M4_S69	L3_M4_S70	L3_M4_S71	L3_M4_S72	L3_M4_S74	L3_M4_S75	L3_M4_S76	L3_M4_S77	L3_M4_S78	L3_M4_S79	L3_M4_S80	L3_M4_S81	L3_M4_S82	L3_M4_S83	L3_M4_S84	L3_M4_S85	L3_M4_S86	L3_M4_S87	L3_M4_S88	L3_M4_S89	L3_M4_S90	L3_M4_S91	L3_M4_S92	L3_M4_S93	L3_M4_S94	L3_M4_S95	L3_M4_S96	L3_M4_S97	L3_M4_S98	L3_M4_S99	L46_M4meta	L46_M4_S139	L46_M4_S140	L46_M4_S141	L46_M4_S142	L46_M4_S143	L46_M4_S144	L46_M4_S145	L46_M4_S146	L46_M4_S147	L46_M4_S148	L46_M4_S149	L46_M4_S150	L46_M4_S151	L46_M4_S152	L46_M4_S153	L46_M4_S154	L46_M4_S155	L46_M4_S156	L46_M4_S157	L46_M4_S158	L46_M4_S159	L46_M4_S160	L46_M4_S161	L46_M4_S162	L46_M4_S163	L46_M4_S164	L46_M4_S166	L46_M4_S168	L46_M4_S169	L46_M4_S170	L46_M4_S171	L46_M4_S173	L46_M4_S174	L46_M4_S175	L46_M4_S176	L46_M4_S177	L46_M4_S187	L46_M4_S188	L46_M4_S191	TK7_M4meta	TK7_M4_S25	TK7_M4_S26	TK7_M4_S27	TK7_M4_S28	TK7_M4_S29	TK7_M4_S30	TK7_M4_S33	TK7_M4_S34	TK7_M4_S35	TK7_M4_S36	TK7_M4_S37	TK7_M4_S38	TK7_M4_S39	TK7_M4_S40	TK7_M4_S41	TK7_M4_S42	TK7_M4_S43	TK7_M4_S44	TK7_M4_S45	TK7_M4_S46	TK7_M4_S47	TK7_M4_S48	TK7_M4_S49	TK7_M4_S50	TK7_M4_S51	TK7_M4_S52	TK7_M4_S53	TK7_M4_S54	TK7_M4_S55	TK7_M4_S56	TK7_M4_S57	TK7_M4_S58	TK7_M4_S59	TK7_M4_S60	TK7_M4_S61	TK7_M4_S62	TK7_M4_S63	TK7_M4_S64	TK7_M4_S65	TK7_M4_S66	TK7_M4_S67	TK7_M4_S68	TK7_M4_S69	TK7_M4_S70	TK7_M4_S71	TK7_M4_S72	TK7_M4_S73	TK7_M4_S74	WQ8_M4meta	WQ8_M4_S106	WQ8_M4_S111	WQ8_M4_S117	WQ8_M4_S119	WQ8_M4_S124	WQ8_M4_S126	WQ8_M4_S128	WQ8_M4_S129	WQ8_M4_S135	WQ8_M4_S136	WQ8_M4_S138	WQ8_M4_S139	WQ8_M4_S144	WQ8_M4_S145	WQ8_M4_S146	WQ8_M4_S147	WQ8_M4_S149	WQ8_M4_S153	WQ8_M4_S159	WQ8_M4_S160	WQ8_M4_S162	WQ8_M4_S164	WQ8_M4_S165	WQ8_M4_S167	WQ8_M4_S168	WQ8_M4_S169	WQ8_M4_S170	WQ8_M4_S171	WQ8_M4_S173	WQ8_M4_S174	WQ8_M4_S175	WQ8_M4_S176	WQ8_M4_S177	WQ8_M4_S179	WQ8_M4_S181	WQ8_M4_S182	WQ8_M4_S183	WQ8_M4_S185	WQ8_M4_S186	WQ8_M4_S187	WQ8_M4_S188	WQ8_M4_S189	WQ8_M4_S82	WQ8_M4_S83	WQ8_M4_S84	WQ8_M4_S85	WQ8_M4_S90	WQ8_M4_S92	WQ8_M4_S93	WQ8_M4_S97	WQ8_M4_S99	YC8_M4meta	YC8_M4_S100	YC8_M4_S102	YC8_M4_S103	YC8_M4_S104	YC8_M4_S105	YC8_M4_S106	YC8_M4_S107	YC8_M4_S108	YC8_M4_S109	YC8_M4_S110	YC8_M4_S111	YC8_M4_S112	YC8_M4_S114	YC8_M4_S115	YC8_M4_S116	YC8_M4_S117	YC8_M4_S120	YC8_M4_S121	YC8_M4_S122	YC8_M4_S123	YC8_M4_S126	YC8_M4_S129	YC8_M4_S130	YC8_M4_S131	YC8_M4_S132	YC8_M4_S133	YC8_M4_S134	YC8_M4_S135	YC8_M4_S136	YC8_M4_S137	YC8_M4_S138	YC8_M4_S139	YC8_M4_S140	YC8_M4_S142	YC8_M4_S144	YC8_M4_S145	YC8_M4_S146	YC8_M4_S147	YC8_M4_S148	YC8_M4_S149	YC8_M4_S151	YC8_M4_S152	YC8_M4_S153	YC8_M4_S154	YC8_M4_S75	YC8_M4_S76	YC8_M4_S77	YC8_M4_S78	YC8_M4_S79	YC8_M4_S80	YC8_M4_S82	YC8_M4_S83	YC8_M4_S84	YC8_M4_S85	YC8_M4_S87	YC8_M4_S88	YC8_M4_S89	YC8_M4_S90	YC8_M4_S91	YC8_M4_S93	YC8_M4_S97	YC8_M4_S98	YC8_M4_S99
L3_M4_S51	98.662025	97.226425	97.014641	98.659454	98.818207	97.249313	98.657242	97.329567	97.110252	97.14566	97.155838	98.733688	98.714813	97.213486	97.054008	98.682899	96.944031	97.40654	96.99231	97.077774	97.40538	97.003326	98.743362	97.166443	98.655991	98.754761	98.721283	98.699829	98.849281	97.033401	96.990303	96.980957	97.328903	97.176193	96.844864	96.872292	98.708054	98.743912	97.000313	97.068794	97.140488	96.944733	97.255081	98.766342	98.755051	98.686478	98.738892	98.722717	97.242355	97.256767	97.153564	97.28096	97.036926	97.149796	97.295532	97.406982	97.136505	97.30159	98.752861	98.712753	97.052261	96.953651	98.766685	98.858765	98.746719	98.58432	98.718948	97.151421	97.249313	98.770935	98.858521	98.793922	98.769356	98.837044	98.819138	98.853981	98.744751	98.810707	98.80632	98.784782	98.854034	98.745224	98.787231	98.78849	98.822365	98.83667	98.833282	98.798401	98.743225	98.726677	98.757477	98.760551	99.789368	99.985001	99.981277	99.899414	99.993393	99.996307	99.98838	99.994209	99.991852	99.985992	99.994026	99.992004	99.991943	99.974518	99.992249	99.972473	99.980446	99.991547	99.988098	99.995399	99.993706	99.993309	99.984085	99.891586	99.988655	99.993362	99.983223	99.904007	99.989723	99.982162	99.975296	99.99485	99.891983	99.98996	99.866684	99.994415	99.339844	99.995941	99.99765	99.995102	99.341904	99.316498	99.901337	99.955872	99.997238																																																																																																																																																																																																																																																												
L3_M4_S52	98.685776	97.277641	97.011551	98.653519	98.795639	97.251053	98.629883	97.321747	97.198807	97.16304	97.187759	98.736069	98.763092	97.147423	97.046005	98.694359	97.005318	97.449455	97.004684	97.010574	97.425171	97.052704	98.717331	97.168083	98.665161	98.728256	98.738571	98.745377	98.839485	96.998138	97.057312	96.954094	97.349533	97.189011	96.833885	96.795059	98.688492	98.699783	96.947014	97.121368	97.07251	96.933701	97.234978	98.793182	98.761482	98.638138	98.774719	98.699265	97.254951	97.217964	97.18222	97.249603	97.00779	97.137566	97.263748	97.397751	97.221565	97.309174	98.75544	98.674347	96.995308	97.026047	98.786819	98.844925	98.784866	98.61293	98.654572	97.165741	97.251053	98.747742	98.850922	98.806129	98.784653	98.863884	98.823898	98.860825	98.77684	98.817146	98.821587	98.81057	98.839935	98.754684	98.81073	98.806091	98.850952	98.852905	98.830139	98.814423	98.767197	98.763817	98.788498	98.788422	99.812149	99.967636	99.992188	99.912247	99.993362	99.996956	99.992142	99.99649	99.992455	99.991562	99.997223	99.99649	99.971619	99.982826	99.995163	99.985161	99.993958	99.992554	99.99147	99.993851	99.996445	99.993484	99.984985	99.887558	99.99247	99.997269	99.993271	99.93277	99.970932	99.990196	99.979942	99.981293	99.887558	99.99176	99.886063	99.995102	99.384628	99.996704	99.993744	99.996101	99.321228	99.351028	99.905029	99.976151	99.995811	99.99649																																																																																																																																																																																																																																																											
L3_M4_S53	98.69371	97.18718	97.036926	98.665421	98.805008	97.26992	98.635559	97.356087	97.202805	97.129257	97.166809	98.717728	98.771164	97.072113	97.037636	98.653992	96.972595	97.404129	96.974869	97.069923	97.407745	97.023262	98.685379	97.168221	98.665512	98.777756	98.716972	98.699692	98.839088	96.991058	97.026901	96.972015	97.353691	97.178719	96.864059	96.826836	98.685196	98.744576	96.992752	97.089317	97.087555	96.920471	97.230865	98.787064	98.745071	98.669373	98.730659	98.704025	97.227203	97.255173	97.096764	97.247101	97.065216	97.082001	97.275078	97.354233	97.207672	97.370262	98.750542	98.685364	97.021591	97.016525	98.765488	98.839378	98.762184	98.584877	98.62458	97.123337	97.26992	98.765488	98.811241	98.797226	98.782578	98.808342	98.817368	98.838272	98.771912	98.837357	98.787613	98.819519	98.836159	98.768349	98.802856	98.796471	98.814484	98.798019	98.813583	98.809715	98.750427	98.743454	98.732254	98.770363	99.818611	99.988152	99.981583	99.901352	99.990761	99.997368	99.985672	99.995468	99.991653	99.985687	99.990982	99.989983	99.991638	99.975388	99.991302	99.975975	99.976425	99.983139	99.993286	99.994263	99.996628	99.997261	99.980927	99.898026	99.98555	99.994041	99.976845	99.900703	99.988632	99.980713	99.974144	99.99678	99.903397	99.987152	99.869522	99.990791	99.353195	99.988373	99.996368	99.995743	99.279053	99.341507	99.90464	99.953613	99.992355	99.993835	99.99456																																																																																																																																																																																																																																																										
L3_M4_S54	98.695786	97.226509	97.090378	98.628387	98.766632	97.256042	98.670815	97.348877	97.205063	97.188446	97.245895	98.747887	98.71933	97.183563	97.139603	98.682365	96.931564	97.49588	96.968018	97.010071	97.391197	97.013306	98.72702	97.189285	98.681046	98.75029	98.708328	98.720337	98.767868	97.013878	97.034935	97.048866	97.373535	97.238441	96.859283	96.811684	98.63707	98.767944	96.969833	97.09581	97.097778	96.945	97.236176	98.746536	98.762764	98.707787	98.745689	98.69545	97.21608	97.311401	97.150444	97.277702	97.116272	97.122993	97.224838	97.349396	97.251663	97.375839	98.776642	98.722336	97.073105	96.983521	98.78685	98.850235	98.731354	98.641663	98.652748	97.174141	97.256042	98.739716	98.860283	98.794281	98.736153	98.860352	98.774521	98.868835	98.741318	98.816513	98.828194	98.820068	98.892738	98.723389	98.789398	98.798462	98.866867	98.864624	98.865677	98.785767	98.778503	98.774368	98.706116	98.766266	99.726837	99.98819	99.990067	99.888275	99.983566	99.993042	99.982941	99.993492	99.990547	99.992317	99.990936	99.988327	99.990181	99.980362	99.990295	99.988892	99.984955	99.991013	99.985291	99.992111	99.991707	99.990143	99.988091	99.903481	99.987595	99.978676	99.986015	99.929184	99.992996	99.965897	99.989685	99.993652	99.900238	99.990921	99.88604	99.984894	99.384789	99.987968	99.982559	99.993927	99.360992	99.32415	99.911461	99.979515	99.997345	99.983246	99.994141	99.980774																																																																																																																																																																																																																																																									
L3_M4_S55	98.685593	97.240402	97.013947	98.627541	98.71933	97.172714	98.645782	97.351616	97.195618	97.097549	97.156387	98.752869	98.724014	97.178566	97.072998	98.714203	96.955551	97.460594	96.994568	97.080917	97.380325	96.98938	98.736786	97.190536	98.642044	98.739349	98.714851	98.721169	98.786964	96.990784	97.066925	96.974075	97.290649	97.223007	96.8097	96.820007	98.678696	98.732422	96.94368	97.09465	97.034676	96.916565	97.244202	98.799271	98.770546	98.652206	98.779541	98.699783	97.257187	97.260773	97.124359	97.242142	97.060928	97.078735	97.264282	97.36058	97.167015	97.295212	98.789551	98.690109	96.980881	96.987114	98.723145	98.807854	98.735336	98.610214	98.713547	97.122131	97.172714	98.731186	98.852921	98.750854	98.725632	98.844482	98.774078	98.851791	98.74353	98.799805	98.774338	98.81282	98.856842	98.756927	98.800659	98.784752	98.844559	98.843155	98.83683	98.768776	98.766876	98.747231	98.741096	98.796822	99.778053	99.992767	99.984375	99.906792	99.991852	99.99472	99.986069	99.996292	99.996361	99.988457	99.994659	99.992294	99.993324	99.981064	99.995743	99.993149	99.991119	99.996338	99.993835	99.995453	99.994888	99.993652	99.988281	99.892883	99.990875	99.991859	99.991905	99.913422	99.991043	99.990677	99.988022	99.99482	99.889091	99.993805	99.876572	99.994728	99.359589	99.990433	99.991508	99.993927	99.314323	99.336365	99.90863	99.97702	99.993118	99.991714	99.994873	99.994614	99.991074																																																																																																																																																																																																																																																								
L3_M4_S56	98.669617	97.204163	97.069557	98.664627	98.743217	97.162628	98.660828	97.292664	97.172806	97.179634	97.123909	98.744812	98.71579	97.174026	97.089996	98.701599	97.028503	97.456467	96.981583	96.992584	97.368858	97.022324	98.748932	97.151413	98.686295	98.720291	98.69133	98.741699	98.80719	96.900009	97.049667	96.931152	97.32959	97.241516	96.873779	96.885925	98.740555	98.707993	97.002975	97.085632	97.096832	96.91156	97.1856	98.76252	98.757195	98.637825	98.753983	98.707153	97.253754	97.272491	97.149048	97.25679	97.095596	97.13369	97.336563	97.370712	97.170135	97.348251	98.817024	98.68364	97.006714	96.97374	98.717491	98.81691	98.745583	98.602219	98.735046	97.093407	97.162628	98.742615	98.850784	98.754715	98.762573	98.789154	98.781006	98.812897	98.728172	98.77092	98.761246	98.797989	98.816895	98.723511	98.781845	98.78215	98.807457	98.800537	98.8349	98.788544	98.726021	98.743958	98.760742	98.790192	99.770416	99.899292	99.87796	99.896492	99.900192	99.894485	99.906082	99.897003	99.908684	99.890549	99.900192	99.890198	99.912315	99.91861	99.89592	99.894897	99.899338	99.885254	99.895569	99.892784	99.897736	99.898041	99.904594	99.995163	99.893669	99.889595	99.89328	99.892487	99.899002	99.911491	99.901329	99.900879	99.991699	99.887833	99.9608	99.887405	99.338394	99.902115	99.896027	99.897491	99.303734	99.296455	99.996185	99.919861	99.890152	99.88942	99.891869	99.889175	99.90451	99.898834																																																																																																																																																																																																																																																							
L3_M4_S57	98.643799	97.180084	97.037491	98.645927	98.736542	97.204483	98.660332	97.282867	97.185287	97.122192	97.050148	98.724442	98.707321	97.157303	97.085159	98.664307	96.919113	97.442062	96.988785	97.040649	97.374527	96.8853	98.682861	97.153992	98.667084	98.705383	98.684288	98.707481	98.817154	96.982117	97.025955	96.939392	97.36525	97.188622	96.803635	96.889519	98.694267	98.734077	96.970825	97.059799	97.095627	96.915894	97.187019	98.729706	98.753433	98.5923	98.777084	98.691956	97.255913	97.309128	97.185699	97.233078	97.101227	97.144211	97.285561	97.362518	97.154144	97.355064	98.783401	98.667778	96.996994	96.977295	98.725754	98.798538	98.757759	98.595833	98.726761	97.142342	97.204483	98.745361	98.865219	98.759201	98.766663	98.819336	98.768036	98.830154	98.785187	98.744568	98.759659	98.799835	98.850113	98.745537	98.779404	98.765228	98.844383	98.800583	98.87925	98.759125	98.756546	98.801407	98.768387	98.754883	99.782516	99.895966	99.876053	99.889946	99.884933	99.887833	99.886795	99.886566	99.891861	99.87886	99.882782	99.882553	99.895279	99.910805	99.889389	99.898621	99.881058	99.885315	99.882614	99.885437	99.885742	99.88044	99.891815	99.992142	99.890198	99.883102	99.880112	99.89917	99.897888	99.869873	99.885178	99.894241	99.991302	99.877991	99.954361	99.874146	99.341019	99.886429	99.883987	99.896271	99.318306	99.335197	99.989441	99.910294	99.889771	99.877151	99.884567	99.885025	99.89856	99.890282	99.993568																																																																																																																																																																																																																																																						
L3_M4_S58	98.654709	97.217232	97.063507	98.661606	98.814651	97.221581	98.669029	97.281715	97.177673	97.117462	97.1679	98.736992	98.743423	97.138794	97.041306	98.703384	96.978134	97.428413	96.927147	97.00193	97.444183	97.020706	98.705032	97.156952	98.660507	98.76506	98.724915	98.748413	98.793686	96.963242	97.019524	96.976959	97.36615	97.170807	96.833099	96.831619	98.706841	98.736404	96.949951	97.065201	97.101898	96.939972	97.197762	98.790993	98.78746	98.648026	98.783707	98.709259	97.254822	97.175415	97.161034	97.218201	97.043259	97.149788	97.297089	97.340271	97.139366	97.325638	98.784882	98.669495	97.048172	96.922089	98.752342	98.863754	98.738747	98.588425	98.647049	97.168571	97.221581	98.753082	98.864822	98.765289	98.744301	98.823509	98.790085	98.834473	98.761856	98.777931	98.775124	98.777985	98.86676	98.75827	98.812515	98.789108	98.829536	98.804596	98.834305	98.811035	98.758804	98.747452	98.755196	98.81044	99.822495	99.993355	99.992455	99.904694	99.994301	99.997658	99.985428	99.997139	99.992813	99.988464	99.994736	99.995529	99.993149	99.975311	99.993416	99.977097	99.980515	99.996185	99.988464	99.99427	99.993851	99.991714	99.988464	99.889648	99.986565	99.994072	99.989548	99.918831	99.994553	99.989883	99.977226	99.994354	99.891876	99.996307	99.872658	99.992165	99.368805	99.993912	99.993202	99.995911	99.343094	99.375732	99.902496	99.966331	99.996445	99.998276	99.997177	99.995117	99.993149	99.996521	99.889618	99.887886																																																																																																																																																																																																																																																					
L3_M4_S59	98.682877	97.165207	97.035706	98.622017	98.818604	97.204788	98.663925	97.312622	97.185715	97.074203	97.207237	98.730011	98.728226	97.133514	97.047462	98.687767	96.982437	97.457085	96.958878	96.979843	97.383385	97.015671	98.68396	97.221695	98.654999	98.764641	98.699509	98.713005	98.81488	96.95385	97.051453	96.965179	97.369766	97.184692	96.821915	96.793106	98.703156	98.744843	96.88414	97.16153	97.076401	96.936905	97.200279	98.806229	98.799545	98.695854	98.731491	98.716255	97.216797	97.306282	97.108513	97.231567	97.026176	97.080742	97.271957	97.351768	97.183426	97.327332	98.77713	98.648941	96.997093	96.971825	98.795906	98.844559	98.726601	98.575516	98.673759	97.12394	97.204788	98.752075	98.817612	98.772537	98.742386	98.843307	98.774857	98.825562	98.718842	98.802284	98.763245	98.820808	98.862411	98.723099	98.812035	98.797729	98.821716	98.829788	98.794327	98.789658	98.752548	98.752411	98.705215	98.743393	99.750336	99.986176	99.991852	99.911804	99.988541	99.995255	99.986801	99.993729	99.989029	99.989845	99.99334	99.991119	99.990982	99.980606	99.991516	99.98217	99.991776	99.993202	99.989258	99.992676	99.993118	99.990669	99.989433	99.910278	99.989525	99.989395	99.989067	99.928108	99.993454	99.957016	99.975143	99.993111	99.896362	99.987991	99.89106	99.990906	99.338547	99.991516	99.986679	99.993988	99.322205	99.360001	99.909271	99.969666	99.994522	99.990326	99.995697	99.9888	99.995285	99.99295	99.899918	99.888611	99.995361																																																																																																																																																																																																																																																				
L3_M4_S60	98.66597	97.198135	97.035576	98.672211	98.751114	97.243988	98.679214	97.304459	97.133659	97.153877	97.18895	98.751213	98.702217	97.217987	97.10524	98.672745	96.954773	97.483887	96.980782	97.042694	97.460556	97.012283	98.691711	97.148941	98.591164	98.761497	98.691772	98.719086	98.800323	97.010391	97.063629	96.985092	97.374924	97.219971	96.777924	96.827896	98.692635	98.748337	97.016563	97.130447	97.105026	96.956467	97.254646	98.776459	98.773621	98.684555	98.766846	98.71106	97.307198	97.31218	97.174812	97.218124	97.070694	97.097023	97.256439	97.380898	97.201126	97.341705	98.790535	98.660408	96.982979	96.95694	98.766647	98.81897	98.740158	98.629417	98.714111	97.139793	97.243988	98.740532	98.877754	98.723297	98.738831	98.819443	98.766296	98.848305	98.7173	98.765854	98.727341	98.806442	98.880363	98.753662	98.822189	98.770508	98.842522	98.813919	98.847649	98.752853	98.726257	98.76622	98.743744	98.789696	99.794617	99.978958	99.973793	99.868065	99.987503	99.989136	99.980492	99.988121	99.991516	99.974213	99.983124	99.981255	99.983261	99.969566	99.984894	99.976334	99.96904	99.986954	99.980179	99.988487	99.985039	99.978958	99.973816	99.88414	99.976746	99.989098	99.972649	99.909836	99.979965	99.958527	99.975677	99.990494	99.882202	99.984749	99.849609	99.982422	99.321762	99.989136	99.988701	99.990143	99.319717	99.304924	99.897743	99.9543	99.991226	99.987595	99.990616	99.986832	99.972992	99.992371	99.889915	99.882584	99.987259	99.979828																																																																																																																																																																																																																																																			
L3_M4_S61	98.66539	97.134712	97.04631	98.672958	98.739967	97.178604	98.670959	97.247726	97.100937	97.105377	97.121437	98.738861	98.695656	97.124939	97.089493	98.687263	96.976959	97.414948	97.015091	97.012337	97.350021	96.998184	98.750275	97.108604	98.700745	98.777405	98.719604	98.728523	98.767807	96.899559	96.954758	96.949471	97.299583	97.12822	96.838242	96.858459	98.726646	98.707268	96.925186	97.04911	97.17659	96.895287	97.105011	98.725342	98.75618	98.641968	98.737045	98.696648	97.168045	97.329773	97.162323	97.262833	97.099838	97.097221	97.280334	97.284622	97.165009	97.351425	98.779648	98.727501	97.019882	97.014343	98.728455	98.81456	98.786514	98.606628	98.704102	97.103302	97.178604	98.736954	98.802605	98.764175	98.760315	98.815872	98.743683	98.813095	98.731216	98.786057	98.78154	98.774719	98.812531	98.724518	98.786842	98.759277	98.818184	98.834305	98.801819	98.764877	98.736267	98.714714	98.745773	98.769196	99.752716	99.899704	99.889099	99.902695	99.89035	99.899445	99.902222	99.901627	99.908478	99.898567	99.90123	99.894745	99.911301	99.918427	99.900375	99.906258	99.898026	99.889679	99.892578	99.892685	99.90152	99.89827	99.909714	99.994896	99.899025	99.878113	99.899048	99.897026	99.904266	99.912582	99.901855	99.898148	99.991226	99.891914	99.961014	99.887726	99.361588	99.904778	99.884064	99.900467	99.317764	99.29525	99.99472	99.920952	99.893707	99.887939	99.89386	99.884407	99.908607	99.899017	99.996811	99.993027	99.894203	99.906128	99.877716																																																																																																																																																																																																																																																		
L3_M4_S62	98.661163	97.153183	96.972382	98.665726	98.751625	97.181305	98.670059	97.254837	97.183754	97.12175	97.1791	98.656281	98.683502	97.07859	97.010925	98.704544	96.937462	97.431091	97.060448	97.06543	97.361984	97.016273	98.725838	97.171257	98.68689	98.739899	98.665642	98.693245	98.79892	96.913818	97.020996	96.925873	97.330582	97.103615	96.85582	96.85627	98.648254	98.683586	96.905945	97.022812	97.093056	96.880806	97.196358	98.751503	98.734528	98.669022	98.732216	98.739082	97.168961	97.294708	97.141068	97.293259	97.07132	97.121368	97.252838	97.341339	97.161301	97.339882	98.757179	98.677094	97.003799	97.005592	98.757355	98.822197	98.747765	98.615005	98.655968	97.058342	97.181305	98.725121	98.873978	98.758713	98.759384	98.84964	98.756157	98.860268	98.737785	98.775818	98.786018	98.772766	98.851456	98.734283	98.792549	98.76059	98.861343	98.845245	98.883736	98.76313	98.76561	98.739883	98.741463	98.796753	99.762344	99.899361	99.894257	99.901184	99.88475	99.894073	99.892525	99.901779	99.897385	99.899689	99.89444	99.89225	99.90239	99.914032	99.893913	99.901268	99.893478	99.890884	99.892975	99.902924	99.889664	99.889999	99.896767	99.996155	99.891579	99.885185	99.896942	99.893723	99.904221	99.893929	99.896889	99.903915	99.991623	99.894714	99.9627	99.883652	99.321243	99.89534	99.892548	99.902229	99.305099	99.240044	99.995285	99.918907	99.900726	99.880615	99.897186	99.886414	99.909409	99.893768	99.99704	99.988892	99.896271	99.898132	99.877426	99.995171																																																																																																																																																																																																																																																	
L3_M4_S63	98.667236	97.276421	97.077446	98.679977	98.770859	97.248291	98.673416	97.327675	97.178192	97.117805	97.191635	98.768463	98.729286	97.145004	97.074417	98.690918	97.027878	97.508568	96.959518	97.067055	97.403244	97.080597	98.731384	97.177277	98.648293	98.753006	98.765289	98.773056	98.833878	96.975456	97.078033	96.977745	97.387482	97.227234	96.8545	96.801895	98.732864	98.720871	96.981445	97.082138	97.125313	96.909286	97.233841	98.796249	98.790543	98.662582	98.768997	98.695587	97.256454	97.225838	97.186028	97.252739	97.066833	97.187119	97.267426	97.382477	97.205299	97.360504	98.810059	98.689072	97.064453	96.969208	98.786713	98.829788	98.763519	98.640648	98.710693	97.15097	97.248291	98.709846	98.85199	98.786453	98.74102	98.836517	98.785843	98.849976	98.77536	98.789642	98.737442	98.821129	98.884613	98.745895	98.832794	98.774117	98.852058	98.834335	98.839333	98.81311	98.746414	98.763786	98.727936	98.801346	99.809845	99.984146	99.990616	99.911621	99.96312	99.991531	99.981934	99.969788	99.988327	99.98877	99.966446	99.985458	99.989334	99.975647	99.986687	99.986099	99.983154	99.968765	99.98407	99.971313	99.985794	99.983368	99.990112	99.897842	99.980438	99.961456	99.986748	99.919724	99.992683	99.979233	99.987045	99.986542	99.898712	99.968193	99.873108	99.963913	99.376343	99.989914	99.961327	99.968033	99.347282	99.318245	99.910294	99.976303	99.971771	99.965637	99.970985	99.966125	99.996796	99.986435	99.901627	99.898308	99.97068	99.971954	99.979553	99.903946	99.902908																																																																																																																																																																																																																																																
